Station Name,Month,Day ,Year,Mean Temperature (Celsius),Maximum Temperature (Celsius),Minimum Temperature (Celsius),Vapor Pressure (kPa) ,Average Relative Humidity (Fraction),Maximum Relative Humidity (Fraction),Minimum Relative Humidity (Fraction),Solar Radiation (MJ/m2) ,Average Wind Speed (m/s),Precipitation (millimeters)
Cokeville,3,9,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,3,10,2015,1.25,13.75555556,-9.766666667,0.332201746,0.5846,-999,-999,19.34886421,1.323235111,0
Cokeville,3,11,2015,1.944444444,11.85,-6.761111111,0.380232296,0.5973,-999,-999,8.353916294,1.680866222,0
Cokeville,3,12,2015,4.116666667,12.20555556,-3.85,0.619747868,0.7823,-999,-999,11.69456172,1.783685167,0
Cokeville,3,13,2015,2.688888889,15,-7.905555556,0.432140578,0.6678,-999,-999,19.7432605,1.242768111,0
Cokeville,3,14,2015,3.194444444,16.67777778,-6.527777778,0.428698716,0.6389,-999,-999,14.89369339,1.904385667,0
Cokeville,3,15,2015,7.122222222,19.03333333,-3.511111111,0.503192449,0.569,-999,-999,12.84467488,1.703218167,0
Cokeville,3,16,2015,7.35,19.48888889,-2.727777778,0.514750567,0.5787,-999,-999,16.95485362,1.4081725,0
Cokeville,3,17,2015,7.055555556,17.47222222,-3.272222222,0.543009039,0.5939,-999,-999,15.01971599,1.913326444,0
Cokeville,3,18,2015,4.566666667,13.01666667,-4.427777778,0.471060724,0.6169,-999,-999,18.08361412,2.382717278,0
Cokeville,3,19,2015,1.811111111,13.14444444,-8.927777778,0.363526901,0.605,-999,-999,21.21282629,1.747922056,0
Cokeville,3,20,2015,3.288888889,17.26666667,-8.994444444,0.337566164,0.5453,-999,-999,21.29949299,1.654043889,0
Cokeville,3,21,2015,4.283333333,18.15,-7.944444444,0.344491271,0.5232,-999,-999,19.80020094,2.159197833,0
Cokeville,3,22,2015,3.611111111,14.90555556,-7.672222222,0.35933795,0.5607,-999,-999,17.87594898,1.363468611,0
Cokeville,3,23,2015,1.566666667,8.116666667,-3.422222222,0.559700397,0.8267,-999,-999,9.919778416,2.056378889,3.048
Cokeville,3,24,2015,-0.488888889,5.455555556,-6.761111111,0.509468059,0.8707,-999,-999,9.153175864,2.664351778,2.54
Cokeville,3,25,2015,-0.022222222,6.488888889,-8.144444444,0.398460408,0.6782,-999,-999,21.25218218,2.583884778,0
Cokeville,3,26,2015,2.305555556,13.48888889,-7.3,0.482965763,0.7047,-999,-999,22.65350318,2.2128425,0
Cokeville,3,27,2015,6.022222222,18.36666667,-4.9,0.570535897,0.6827,-999,-999,22.44500068,1.788155556,0
Cokeville,3,28,2015,6.783333333,19.77777778,-4.322222222,0.494726508,0.5869,-999,-999,22.38094268,3.089038722,0
Cokeville,3,29,2015,4.577777778,16.25,-7.238888889,0.354733861,0.4965,-999,-999,23.21495267,1.8105075,0
Cokeville,3,30,2015,5.533333333,18.94444444,-6.866666667,0.371398807,0.5137,-999,-999,23.27440519,1.493109889,0
Cokeville,3,31,2015,7.755555556,24.12777778,-7.544444444,0.39358111,0.486,-999,-999,20.59736711,3.428788278,0
Cokeville,4,1,2015,-999,8.255555556,-0.672222222,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,2,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,3,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,4,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,5,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,6,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,7,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,8,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,9,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cokeville,4,10,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
