Station Name,Month,Day ,Year,Mean Temperature (Celsius),Maximum Temperature (Celsius),Minimum Temperature (Celsius),Vapor Pressure (kPa) ,Average Relative Humidity (Fraction),Maximum Relative Humidity (Fraction),Minimum Relative Humidity (Fraction),Solar Radiation (MJ/m2) ,Average Wind Speed (m/s),Precipitation (millimeters)
Encampment,5,17,2007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Encampment,5,18,2007,14.42138889,23.57,5.272777778,-999,0.48206,-999,-999,24.55807719,2.78192992,0.254
Encampment,5,19,2007,12.48138889,23.27,1.692777778,-999,0.54077,-999,-999,19.33123779,2.52264672,1.27
Encampment,5,20,2007,13.85805556,23.24,4.476111111,-999,0.4287,-999,-999,21.73998591,2.85166816,0
Encampment,5,21,2007,11.1175,19.75,2.485,-999,0.55253,-999,-999,16.22132676,3.69433856,3.048
Encampment,5,22,2007,4.308611111,8.86,-0.242777778,-999,0.69467,-999,-999,16.84151702,3.24908672,1.524
Encampment,5,23,2007,4.438888889,11.45,-2.572222222,-999,0.5303,-999,-999,20.21042332,2.16546176,0
Encampment,5,24,2007,4.726388889,14.49,-5.037222222,-999,0.47359,-999,-999,26.15814544,2.22536512,0
Encampment,5,25,2007,9.213888889,18.75,-0.322222222,-999,0.43271,-999,-999,26.28705693,4.02425408,0
Encampment,5,26,2007,8.190555556,19.35,-2.968888889,-999,0.59356,-999,-999,17.7897847,2.48598944,0.254
Encampment,5,27,2007,11.87444444,23.19,0.558888889,-999,0.46446,-999,-999,19.76519932,2.71666208,0
Encampment,5,28,2007,15.38055556,23.78,6.981111111,-999,0.39877,-999,-999,22.7720314,3.8199568,0.254
Encampment,5,29,2007,9.983611111,16.09,3.877222222,-999,0.55875,-999,-999,15.38095284,2.7872944,0.254
Encampment,5,30,2007,8.158611111,16.29,0.027222222,-999,0.54099,-999,-999,27.05772067,3.11631584,1.524
Encampment,5,31,2007,8.229444444,17.56,-1.101111111,-999,0.51323,-999,-999,20.69102576,3.78061728,0
Encampment,6,1,2007,10.14944444,15.76,4.538888889,-999,0.71921,-999,-999,11.87346356,2.37244128,0.254
Encampment,6,2,2007,12.86861111,22.98,2.757222222,-999,0.52778,-999,-999,28.80964406,2.27945696,0
Encampment,6,3,2007,11.90055556,24.11,-0.308888889,-999,0.41536,-999,-999,31.00214411,1.97725792,0
Encampment,6,4,2007,12.79805556,22.98,2.616111111,-999,0.61181,-999,-999,21.76958657,2.2374352,1.778
Encampment,6,5,2007,14.94694444,25.09,4.803888889,-999,0.42709,-999,-999,18.71448071,3.29826112,0
Encampment,6,6,2007,10.3175,18.48,2.155,-999,0.53337,-999,-999,14.8681958,4.78377504,4.826
Encampment,6,7,2007,1.858055556,4.95,-1.233888889,-999,0.8453,-999,-999,8.93408077,3.65052864,1.524
Encampment,6,8,2007,7.654444444,17.88,-2.571111111,-999,0.58374,-999,-999,28.36714147,2.380488,0
Encampment,6,9,2007,10.53555556,22.17,-1.098888889,-999,0.4672,-999,-999,31.76782556,2.58791456,0
Encampment,6,10,2007,12.22194444,25.02,-0.576111111,-999,0.39988,-999,-999,31.31293006,2.49314208,0
Encampment,6,11,2007,14.4875,25.49,3.485,-999,0.36423,-999,-999,26.80433571,2.57092704,0
Encampment,6,12,2007,11.23888889,18.61,3.867777778,-999,0.62116,-999,-999,13.41893598,1.39297664,2.286
Encampment,6,13,2007,15.14,24.82,5.46,-999,0.4449,-999,-999,31.84339725,1.72959776,0
Encampment,6,14,2007,14.185,26.35,2.02,-999,0.45174,-999,-999,29.82364445,2.3961344,0
Encampment,6,15,2007,17.4,28.53,6.27,-999,0.38923,-999,-999,30.88922619,2.07918304,0
Encampment,6,16,2007,18.665,29.6,7.73,-999,0.37124,-999,-999,25.9429022,2.58970272,0
Encampment,6,17,2007,15.49194444,26.67,4.313888889,-999,0.27221,-999,-999,28.60587264,4.44760096,0
Encampment,6,18,2007,9.371944444,21.25,-2.506111111,-999,0.27348,-999,-999,32.14945212,3.26249792,0
Encampment,6,19,2007,13.17888889,26.88,-0.522222222,-999,0.31719,-999,-999,31.44025056,2.43010944,0
Encampment,6,20,2007,16.86194444,30.38,3.343888889,-999,0.31616,-999,-999,29.39529324,2.29242112,0
Encampment,6,21,2007,16.86944444,28.47,5.268888889,-999,0.30266,-999,-999,28.71862309,2.46274336,0
Encampment,6,22,2007,19.24,29.76,8.72,-999,0.31194,-999,-999,25.81528863,2.52622304,0
Encampment,6,23,2007,18.715,30.71,6.72,-999,0.32471,-999,-999,28.18225251,2.25799904,0
Encampment,6,24,2007,16.75388889,30.04,3.467777778,-999,0.27213,-999,-999,30.25061402,2.87178496,0
Encampment,6,25,2007,17.3975,29.06,5.735,-999,0.27279,-999,-999,31.60835046,2.4117808,0
Encampment,6,26,2007,17.2975,31.71,2.885,-999,0.29422,-999,-999,31.4586306,2.73677888,0
Encampment,6,27,2007,19.755,31.45,8.06,-999,0.39249,-999,-999,28.29939909,3.33804768,0
Encampment,6,28,2007,19.19,31.84,6.54,-999,0.31184,-999,-999,27.97756,2.503424,0
Encampment,6,29,2007,20.7,32.02,9.38,-999,0.27632,-999,-999,30.18195055,2.1815552,0
Encampment,6,30,2007,18.65944444,32.24,5.078888889,-999,0.29764,-999,-999,28.8184782,1.4908784,0
Encampment,7,1,2007,19.32194444,32.84,5.803888889,-999,0.2852,-999,-999,28.65737025,1.45824448,0
Encampment,7,2,2007,19.1775,34.68,3.675,-999,0.26572,-999,-999,30.82793148,1.78190144,0
Encampment,7,3,2007,18.9775,32.5,5.455,-999,0.29143,-999,-999,29.1039759,2.98578016,0
Encampment,7,4,2007,21.445,32.77,10.12,-999,0.30513,-999,-999,29.23853956,2.78595328,0
Encampment,7,5,2007,20.82,31.79,9.85,-999,0.47113,-999,-999,24.03150371,3.03808384,0.508
Encampment,7,6,2007,19.955,32.23,7.68,-999,0.37871,-999,-999,30.38706174,2.08141824,0
Encampment,7,7,2007,22.305,32.64,11.97,-999,0.32078,-999,-999,25.13815793,2.97460416,0
Encampment,7,8,2007,19.03,28.95,9.11,-999,0.39703,-999,-999,21.39930623,2.85345632,0
Encampment,7,9,2007,19.59,29.92,9.26,-999,0.30029,-999,-999,29.65868465,3.02914304,0
Encampment,7,10,2007,21.305,31.18,11.43,-999,0.46264,-999,-999,26.15588457,3.48288864,1.016
Encampment,7,11,2007,18.45611111,31.64,5.272222222,-999,0.37279,-999,-999,27.24235842,2.28348032,0
Encampment,7,12,2007,20.22,28.4,12.04,-999,0.53648,-999,-999,18.8243004,3.15699648,0
Encampment,7,13,2007,18.11,29.01,7.21,-999,0.5658,-999,-999,19.66149235,2.29510336,6.858
Encampment,7,14,2007,19.03,30.66,7.4,-999,0.49504,-999,-999,25.53000027,2.07963008,0
Encampment,7,15,2007,19.65388889,32.71,6.597777778,-999,0.37223,-999,-999,26.18201019,1.88025024,0
Encampment,7,16,2007,20.98,33.9,8.06,-999,0.36457,-999,-999,23.25188022,1.93255392,0
Encampment,7,17,2007,21.785,32.58,10.99,-999,0.46735,-999,-999,19.53433932,2.53963424,1.016
Encampment,7,18,2007,22.165,32.96,11.37,-999,0.39304,-999,-999,27.88771133,2.38987584,0
Encampment,7,19,2007,22.11,30.8,13.42,-999,0.45094,-999,-999,17.87460921,3.2812736,0
Encampment,7,20,2007,21.575,30.18,12.97,-999,0.51848,-999,-999,16.38138802,2.69207488,0
Encampment,7,21,2007,22.11,33.9,10.32,-999,0.39624,-999,-999,24.6452463,2.11986368,0
Encampment,7,22,2007,22.975,35.3,10.65,-999,0.34117,-999,-999,24.74744602,2.55617472,0
