Station Name,Month,Day ,Year,Mean Temperature (Celsius),Maximum Temperature (Celsius),Minimum Temperature (Celsius),Vapor Pressure (kPa) ,Average Relative Humidity (Fraction),Maximum Relative Humidity (Fraction),Minimum Relative Humidity (Fraction),Solar Radiation (MJ/m2) ,Average Wind Speed (m/s),Precipitation (millimeters)
Mohave,1,1,1992,12.2,17.1,6.2,0.8,0.507,0.852,0.284,11.49,4.9,0
Mohave,1,2,1992,11.2,15.9,7.1,0.8,0.424,0.6,0.26,9.91,3.7,0
Mohave,1,3,1992,9.2,11.7,6,0.4,0.648,0.882,0.42,1.41,2.4,6.35
Mohave,1,4,1992,10.5,14.4,7.7,0.3,0.775,0.912,0.562,9.26,2,0
Mohave,1,5,1992,12,16,9.7,0.2,0.835,0.913,0.672,3.61,2.4,11.18
Mohave,1,6,1992,10.7,15.9,5.5,0.4,0.752,0.953,0.351,10.63,2.1,2.03
Mohave,1,7,1992,7.7,15,0.7,0.2,0.808,0.981,0.51,8.42,1.1,0
Mohave,1,8,1992,9.899999,15.2,3.1,0.6,0.585,0.951,0.34,11.89,3.5,0
Mohave,1,9,1992,11.9,16.2,7.9,0.9,0.395,0.604,0.206,12.16,5.6,0
Mohave,1,10,1992,13.2,18.3,8.2,1,0.342,0.554,0.2,12.44,4.7,0
Mohave,1,11,1992,10.3,18.1,2.9,0.7,0.52,0.807,0.271,11.05,1.9,0
Mohave,1,12,1992,11.2,16.1,5.2,0.9,0.327,0.796,0.153,12.34,4,0
Mohave,1,13,1992,9.899999,15.5,2.9,0.9,0.316,0.525,0.165,12.51,3.3,0
Mohave,1,14,1992,8,17.8,-3.1,0.8,0.439,0.804,0.167,12.4,3,0
Mohave,1,15,1992,13.3,19,7.9,1.1,0.328,0.484,0.172,12.82,4.2,0
Mohave,1,16,1992,9.2,17.6,0.5,0.8,0.419,0.69,0.184,12.86,2.3,0
Mohave,1,17,1992,9.100001,17.9,-1.5,0.8,0.431,0.79,0.172,11.53,2.4,0
Mohave,1,18,1992,15.3,19.2,12.1,1.3,0.248,0.356,0.163,9.480001,5.3,0
Mohave,1,19,1992,14.2,19.1,8.7,1.3,0.219,0.369,0.155,12.75,4.7,0
Mohave,1,20,1992,12.6,19.2,5,1.1,0.273,0.471,0.145,12.45,3.6,0
Mohave,1,21,1992,8.600001,20.1,-1.3,0.8,0.435,0.857,0.18,13.18,0.7,0
Mohave,1,22,1992,9.399999,21,-2.5,0.9,0.405,0.9,0.109,13.78,2.2,0
