DATE      ,Tmin (F),Tmax (F),Tmean (F),Precip (in),Sr (lang),Tdew (F),Uz (mph)
1/1/2015,0.11,31.58,15.69,0,224.76,1.26,1.42
1/2/2015,3.24,37.4,18.82,0,222.96,2.56,0.99
1/3/2015,7.11,45.29,24.37,0,218.61,6.98,1.21
1/4/2015,15.26,52.3,30.21,0,146.6,14.07,1.21
1/5/2015,19.35,54.27,33.23,0,165.65,18.89,1.62
1/6/2015,20.52,54.65,35.58,0,215.23,22.12,1.25
1/7/2015,19.17,56.61,35.15,0,225.35,23.96,1.27
1/8/2015,17.76,55.26,34.22,0,218.47,24.87,1.4
1/9/2015,19.05,50.15,35.28,0,168.71,27.29,0.94
1/10/2015,32.71,56.25,41.8,0,150.05,30.69,1.45
1/11/2015,26.55,59.84,43.2,0,204,29.83,2.04
1/12/2015,34.2,52.72,43.27,0,124.58,33.23,2.88
1/13/2015,17.5,48.13,33.41,0,213.51,25,2.58
1/14/2015,12.18,46.42,28.54,0,245.58,20.67,1.42
1/15/2015,14.34,49.13,31.82,0,224.76,21.35,1.62
1/16/2015,25.73,55.79,40.17,0,122.47,22.61,2.19
1/17/2015,29.08,62.16,44.76,0,211.06,27.88,1.78
1/18/2015,31.35,66.33,45.96,0,219.8,26.95,2.21
1/19/2015,27.57,60.49,46.23,0,253.02,32.66,3.04
1/20/2015,21.54,47.58,34.64,0,210.29,21.89,3.37
1/21/2015,13.28,45.87,29.55,0,266.43,16.42,1.75
1/22/2015,11.39,46.55,28.96,0,222.22,14.02,1.49
1/23/2015,13.48,51.15,31.2,0,267.65,14.03,1.34
1/24/2015,16.36,55.14,33.58,0,271.82,15.05,1.74
1/25/2015,20.46,57.53,37.23,0,275.46,18.73,1.47
1/26/2015,21,55.02,37.89,0,193.54,22.91,1.28
1/27/2015,36.11,51.06,43.63,0.3,65.63,38.74,4.66
1/28/2015,27.61,53.67,40.02,0,291.46,34.3,1.69
1/29/2015,35.15,52.93,42.18,0,216.74,36.82,2
1/30/2015,33.06,51.09,41.81,0,280.63,34.73,5.7
1/31/2015,20.88,50.88,34.81,0,316.62,24.98,2.24
2/1/2015,18.68,53.83,35.09,0,255.12,24.29,1.65
2/2/2015,25.18,57.53,41.38,0,228.26,30.84,2.38
2/3/2015,29.13,65.11,46.83,0,228.2,34.18,2.3
2/4/2015,31.27,60.22,44.17,0,157.98,30.72,1.41
2/5/2015,31.47,69.85,51.08,0,247.03,25.97,6.02
2/6/2015,43.15,72.61,57.13,0,225.22,23.35,12.52
2/7/2015,34.66,65.51,52.15,0,212.29,37.2,7.63
2/8/2015,27.71,65.78,47.02,0.2,190.48,37.51,4.13
2/9/2015,30.21,60.35,48.19,0,356.09,31.76,9.58
2/10/2015,22.58,53.3,37.9,0,351.19,28.26,2.34
2/11/2015,24.93,57.04,40.09,0,341.73,30.08,2.1
2/12/2015,25.53,64.31,43.88,0,357.47,30.08,1.72
2/13/2015,30.37,67.13,46.95,0,366.01,32.52,1.49
2/14/2015,33.55,67.16,46.98,0,279.43,34.78,2.42
2/15/2015,29,60.94,44.23,0,356.81,27.15,2.98
2/16/2015,22.29,58.14,39.82,0,386.06,21.83,3.02
2/17/2015,21.74,62.4,41.35,0,387.99,21.68,1.58
2/18/2015,25.91,68.07,45.3,0,396.42,25.17,1.71
2/19/2015,26.14,67.07,47.16,0,372.86,27.19,2.15
2/20/2015,26.86,58.3,44.09,0,410.29,22.37,3.77
2/21/2015,22.64,55.86,40.56,0,406.25,19.25,5.61
2/22/2015,28.21,47.81,36.52,0,366.6,15.47,11.91
2/23/2015,14.92,44.45,31.42,0,413.28,2.94,6.73
2/24/2015,11.14,55.94,33.3,0,432.39,-0.68,2.03
2/25/2015,18.86,60.76,39.3,0,393.47,6.65,2.44
2/26/2015,26.7,54.77,42.27,0,354.78,19.73,4.39
2/27/2015,29.99,54.41,41.86,0.01,303.65,28.46,3.49
2/28/2015,29.69,43.18,36.31,0.13,161.72,34.04,3.46
3/1/2015,31.84,50.17,39.2,0,379.11,29.48,4.4
3/2/2015,26.51,53.18,38.75,0,349.24,27.81,3.31
3/3/2015,21.66,47.74,38.36,0,422.19,18.75,5.51
3/4/2015,15.55,51.34,33.32,0,472.96,14.42,1.9
3/5/2015,17.15,59.18,37.92,0,479.06,14.71,1.8
3/6/2015,20.65,63.07,41.4,0,484.61,16.01,1.68
3/7/2015,24.02,66.73,44.49,0,478.29,16.32,1.8
3/8/2015,23.57,68.68,47.11,0,475.46,16.44,1.98
3/9/2015,24.36,68.27,46.6,0,499.09,14.22,2.05
3/10/2015,24.11,72.58,49.37,0,417.77,14.06,2.13
3/11/2015,44.15,61.4,54.74,0,151.9,29.84,3.44
3/12/2015,32.54,65.19,50.34,0,471.97,35.03,3.55
3/13/2015,30.29,70.78,51.22,0,497.23,28.45,2.82
3/14/2015,43.26,76.79,60.13,0,365.16,27.14,2.31
3/15/2015,51.12,76.59,64.03,0,232.55,25.35,6.82
3/16/2015,41.27,71.27,56.75,0,294.13,28.44,2.02
3/17/2015,44.58,71.82,57.48,0,391.3,29.85,4.21
3/18/2015,33.75,65.65,51.71,0,521.48,27.43,5.24
3/19/2015,26.97,68.81,48.86,0,549.89,18.4,2.25
3/20/2015,27.79,72.37,52.69,0,414.98,14.44,2.09
3/21/2015,42.86,72,58.75,0,472.08,17.41,5.44
3/22/2015,42.87,69.92,56.25,0,431.18,24.8,6.47
3/23/2015,38.52,64.09,51.01,0,523.09,25.17,9.8
3/24/2015,37.99,61.26,49.94,0,290.97,29.4,5.2
3/25/2015,28.08,64.5,48.12,0,556.63,28.64,2.81
3/26/2015,32.2,73.55,53.67,0,561.71,28.1,2.33
3/27/2015,35.8,82,60.26,0,578.41,27.27,3.55
3/28/2015,34.4,73.7,57.72,0,553.68,18.6,4.28
3/29/2015,28.3,74.23,53.31,0,596.2,9.66,2.91
3/30/2015,33.46,82.4,59.71,0,560.34,16.05,2.66
3/31/2015,42.8,75.98,57.98,0,582.87,16.37,9.28
4/1/2015,23.58,55.72,44.01,0,540.72,13.65,5.59
4/2/2015,31.74,55.54,44.74,0,613.12,14.25,6.08
4/3/2015,17.87,65.9,44.46,0,612.35,4.44,3.03
4/4/2015,31.56,71.17,54.3,0,575.93,11.82,6.97
4/5/2015,37.67,65.38,51.11,0,601.19,16.37,11.56
4/6/2015,33.34,56.58,46,0,543.14,16.2,4.92
4/7/2015,29.78,55.28,44.36,0,272,18.98,7.62
4/8/2015,28.82,57.93,43.71,0,575.61,19.75,5.73
4/9/2015,23.26,64.64,46.28,0,619.31,14.94,3.01
4/10/2015,28.33,70.58,52.24,0,630.6,15.77,4.43
4/11/2015,31.73,69.64,54.01,0,516.58,21.78,4.87
4/12/2015,29.22,69.6,52.49,0,610.12,22.76,2.68
4/13/2015,30.54,83,58.06,0,642.8,13.77,7.71
4/14/2015,28.06,60.6,45.97,0,627.38,16.16,13.04
4/15/2015,19.03,54.99,38.97,0,652.59,7.67,4.35
4/16/2015,20.69,63.05,44.16,0,669.94,9.8,3.09
4/17/2015,26.5,71.83,51.4,0,675.11,10.78,2.62
4/18/2015,31.57,77.65,57.98,0,664.04,14.3,4.99
4/19/2015,34.59,74.96,57.77,0,652.8,9.4,3.97
4/20/2015,29.96,78.86,57.59,0,671.36,10.13,2.55
